text
"This is a bit of a longer review, so here are the main points: Good value for your money, easy to set up/use, high quality."
"I was having problems with my PC. The instructions where horrible. But I watched a youtube video and got everything plugged in with a 600 Watt powers supply."
"1 STAR is a bit harsh, as every manufacture has DOA motherboards now and then, but the complete lack of a support channel or manual to tell me how to read out the on board indicators requires a harsh review."
"Do not buy MSI B450 boards for Ryzen 3rd gen CPU's."
"It checked off most of my wish list. Lots of great features. - plenty of USB ports (4x2.0 and 4x3.1 Gen 1) - multiple fan headers (CPU + 2 chassis fan)"
